Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@eldato_co	Logran aislar virus que causa el Covid-19 https://t.co/dXZppFeKSG https://t.co/6AQA7FtWIP	2020-04-07 01:28:15	es		0.0	0.0		ElDato.co	Plataforma de información digital de Noticias Financieras	22977.0	26.0	87.0	162.0	1.0	False		
@elnoticialcom	@MILLY_QUEZADA envía un mensaje al país #QuedateEnCasa  en medio de su inmenso dolor por la partida de su cuñado a causa del #Covid_19 https://t.co/LAxLZRH1YO	2020-04-07 01:28:14	es		0.0	0.0	@MILLY_QUEZADA	El Noticial	"Periódico digital dominicano. 
#ElNoticial"	883.0	56.0	116.0	43.0	0.0	False		
@edomexaldia	"CDMX, Edoméx y Puebla siguen con mayor número de casos de COVID-19
https://t.co/mBegUmqBf0 https://t.co/0pGl0pe9AE"	2020-04-07 01:28:14	es		0.0	0.0		Edomex Al Día	Tweets sobre las noticias más importantes del Estado de México.	98517.0	8.0	2384.0	4261.0	73.0	False		
@NoticiasItr	"Esta noche inicia el traslado de las 59 personas que cumplieron su cuarenta en el Hotel Sevilla de Santa María, Usulután; son llevados hasta la vivienda de cada uno donde deberán someterse a otro la cuarentena domiciliar.

Todos resultaron negativas a Covid-19. https://t.co/505gnj8cd0"	2020-04-07 01:28:13	es		0.0	0.0		ITR NOTICIAS		11258.0	98.0	367.0	3369.0	7.0	False		
@hendirecto	"Suecia respondió a criticas; por no tomar medidas seguras ante el COVID-19
https://t.co/wQpU40aqPV #oaxaca #mundo #coronavirus https://t.co/OZytnxKvE5"	2020-04-07 01:28:13	es		0.0	0.0		HenDirecto Noticias	El concepto de noticias	45104.0	47.0	71.0	4716.0	84.0	False		
@ElSolHermosillo	"#ENTÉRATE La Secretaría de Salud ya cuenta con un protocolo para el manejo correcto de cadáveres por coronavirus, confirmó el vocero Gerardo Álvarez

https://t.co/K4DXwmxk7x"	2020-04-07 01:28:11	es		0.0	0.0		El Sol de Hermosillo	Medio informativo en Hermosillo, Sonora, México, miembro de la cadena @OEMenlinea	88832.0	3314.0	732.0	10761.0	112.0	False		
@primeraplanaD	Gobernador de Campeche CMAG y empresarios analizan estrategias para recuperación económica por COVID-19 https://t.co/fP2gYGzv3c https://t.co/I3QdQVzBbb	2020-04-07 01:28:10	es		0.0	0.0		Primera Plana		22111.0	31.0	267.0	464.0	6.0	False		
@EnContactoChis	El gobernador encabezó la Mesa de Seguridad donde reiteró el llamado a la unidad para hacer frente a la emergencia sanitaria y c... https://t.co/jpTEgEZGyu	2020-04-07 01:28:10	es		0.0	0.0		Chiapas en Contacto		23691.0	1.0	14.0	425.0	5.0	False		
@tvlibertadmx	"AMLO abandona a empresas en plan de emergencia económica por covid-19

https://t.co/0tBQln1Wc3"	2020-04-07 01:28:10	es		0.0	0.0		tvlibertadmx	Sistema de Noticias del Estado de Guanajuato.	1515.0	299.0	279.0	402.0	3.0	False		
@Deadpoolmx2	No te vaya a pegar el #Covid_19 perro https://t.co/W5cIIB3xLw	2020-04-07 01:28:09	es		0.0	0.0		deadpoolmx2	Si soy	6199.0	8930.0	694.0	433.0	0.0	False		
@tvlibertadmx	"Resulta positiva en Covid-19 una tigresas en Nueva York.

https://t.co/m4NFuF8UnC"	2020-04-07 01:28:09	es		0.0	0.0		tvlibertadmx	Sistema de Noticias del Estado de Guanajuato.	1515.0	299.0	279.0	402.0	3.0	False		
