Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@syunkanto	"こんだけ政治家が国民を守ろうとしないのだから仕方ない。税金は納めても守ってくれない。安部自民党政権下で日本は終了です。今後、安部内閣の面々はどの面下げて生きていくのだろう。気になる。

#コロナ
#日本終了 
#安部晋三 
#COVID__19"	2020-04-11 16:05:57	ja		0.0	0.0		カント		53.0	245.0	56.0	2.0	0.0	False		
@AufstehenUK	How can you address supply and demand of anything if you don't collate figures of how many you need as opposed to how many you have? Stock-taking surely is the first place to start! #Covid_19 @YvetteCooperMP	2020-04-11 16:05:57	en		0.0	0.0		AufstehenUK	Grumpy old git, using cyberspace to voice personal opinion, educate and irritate! Detest inhumanity, xenophobia & the political ignorance of the English!	28588.0	2670.0	579.0	489.0	17.0	False		
@aldotcom	Homeless shelters have reduced capacity or closed their doors altogether, while access to food has quickly diminished as demand at food banks has skyrocketed due to COVID-19 — pushing those without a home further toward the fringes of society and economy. https://t.co/0tVNWtd3M4 https://t.co/zh0UPubedH	2020-04-11 16:05:57	en		0.0	0.0		AL.com	All things Alabama. Managed by the team at Alabama Media Group: @ikemorgan, Monica Keener and @rlwbenj.	187520.0	10045.0	849.0	312592.0	1945.0	True		
@phil727ck	@ToddEberly Birx made a comment “if someone dies with COVID-19, we are counting that as a COVID-19 death” suggesting numbers are probably inflated.  And there are doctors verifying these claims.  Could it be true?  I'm not a tin foil hat wearer but I could see it......	2020-04-11 16:05:56	en		0.0	0.0	@ToddEberly	Philip A Parenti	"'Merican, conservative, veteran, Trump supporter. 😎
""The heart of the wise inclines to the right, but the heart of the fool to the left."" Ecclesiastes 10:2"	1306.0	1087.0	302.0	236.0	4.0	False		
@impactoimer	"🏎🏎🏎🇲🇽Mediante un video el piloto #ChecoPerez llama la unión para vencer la pandemia del #COVID__19 en México 
#ImpactoDeporivo
#QuedateEnCasa https://t.co/xETc4BKjUz"	2020-04-11 16:05:56	es		0.0	0.0		Impacto Deportivo	Lunes a viernes de 20:00a 21:00 hrs (Temporalmente )📻 Sábados y domingos 20:00 a 20:30 hrs (Temporalmente)📻 https://t.co/x1nqBaoN7l #SomosRadioPública	14742.0	194.0	212.0	1467.0	23.0	False		
@SherefSabawyPC	(1/2) This morning our Premier @fordnation visited the grass roots volunteer organization Conquer COVID-19 who is holding a PPE drive to collect masks, gloves, and other supplies that are essential for healthcare workers amid the COVID-19 crisis. https://t.co/5sPw3khI1N	2020-04-11 16:05:56	en		0.0	0.0		Sheref Sabawy, MPP	#MPP, #MississaugaErinMills and Parliamentary Assistant to the Ministry of #Heritage, #Sports, #Tourism and #Culture industries.	1416.0	3038.0	326.0	2624.0	58.0	True		
@ewokizate	Fallecidos diarios COVID-19 en España y otros países: https://t.co/UcZ4mE4xmP	2020-04-11 16:05:56	es		0.0	0.0		Ewok Rojo	Me dijeron que con la edad se me pasaría el rojerío, pero cuanto más sé sobre el mundo y las relaciones entre los humanos más rojo soy.	22605.0	492.0	99.0	173.0	2.0	False		
@ImogenRadford	https://t.co/wkw32XOTri @BatterseaPwrStn Community Choir virtual Labi Siffre, ‘Something Inside So Strong’ shows appreciation, support hard work, sacrifices NHS staff, carers fighting COVID-19 on frontline. #OurNHSPeople #ThankyouNHS #NHSHeroes #Singforourcarers #Clapforourcarers	2020-04-11 16:05:56	en		0.0	0.0		Imogen Radford	Love forests, woods, trees, hedges, rivers, lakes, sea, lidos, allotments, fruit, veg, stained glass, arts, music, health. Want access & funds to these for all	7735.0	4094.0	1499.0	666.0	18.0	False		
