Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@mariiacg9	El día que digas algo con sentido creo que acabará el covid19 pedazo d enfermo https://t.co/HAqlVlUXP7	2020-07-17 13:38:40	es		0.0	0.0		María	No cumplo tus expectativas.	10546.0	4310.0	456.0	779.0	1.0	False		
@NoticieroHechos	Urge donante de plasma de paciente recuperado de COVID19 https://t.co/2r6EGngDIc	2020-07-17 13:38:39	es		0.0	0.0		Noticiero Hechos	El equipo de profesionales de Noticiero Hechos se esfuerza día a día por llevarle las noticias más relevantes del acontecer nacional e internacional.	249709.0	891.0	927.0	599025.0	764.0	True		
@JosePenadesAG	"😷 ¿Todavía no tienes tu mascarilla de diseño?
👉 Lavables. Haz tu pedido en el ☎️ que aparece en la fotografía o por privado

#mascarilla
#covid19
#villena
#alicante
#yocomproenvillena
#yocomproenalicante https://t.co/ADafCh3UmI"	2020-07-17 13:38:30	es		0.0	0.0		José Penades 😎🤔 @jmpenadesag	"✏️ 🎙️ Comunicador 
 🚐 Rutero de #nacex
❤️ @ville_ceci  
🐶 Amante de los perros 
⚽️ Del @sevillafc 
🎁 Nacido el 18-10-1969
👨‍👦 @pablito26_"	10497.0	11454.0	1214.0	200.0	3.0	False		
@rexonsjose	@mggarciab @malvegan @richizuluaga @ultiempos @Daniela77912741 @enlabodega @CamiloGuerreroB @SENAComunica Para la covid19	2020-07-17 13:38:30	es		0.0	0.0	@mggarciab	pepe🇪🇸. (Trabajando como se puede)	Harto de la falta de empatía y el compromiso social. ¿Dejaremos de robarnos alguna vez?	38928.0	50111.0	1052.0	343.0	1.0	False		
@lasmalvinas27	Gracias a la administración de @LaMayorista, a la @alcaldiadeitagui y la @personeriadeitagui por su acompañamiento y ayuda en cada momento hoy podemos decir que Las Malvinas están libres de CoVid19 y seguimos trabajando de la mano de las instituciones para cuidarte.	2020-07-17 13:38:27	es	CO	0.0	0.0	@lasmalvinas27	Las Malvinas - Bloque 27	"100% Las Malvinas. 
Somos una cooperativa que nace luego de una tragedia y hoy nos levantamos de las cenizas para luchar por el bien común."	111.0	9.0	298.0	55.0	0.0	False		
@EurofesF	"Hoy es viernes y que mejor que estar en casa🏠 con la familia 👨‍👩‍👧.
#QuedateEnCasa
.
.
#FamiliaEurofes #cuidadetufamilia👨‍👨‍👦‍👦 
#ViveTuPropiaIdea #BeneficiosParaMi #Bienestareurofes #AsociadoFeliz #covıd19 https://t.co/54RhWjoNcf"	2020-07-17 13:38:26	es		0.0	0.0		Eurofes_fe	En Eurofes contamos con un equipo de trabajo dispuesto a ayudar a nuestros asociados y sus familias ❤.	293.0	236.0	859.0	126.0	0.0	False		
@cheomarciani	"Estaban muertos, les dio covid19 y se ""volvieron"" a fallecer! Recuerden que algunos Psiquiatras dicen que todos tenemos 2 vidas! https://t.co/c88rvKitTk"	2020-07-17 13:38:24	es	VE	0.0	0.0		Venezuela y Latinoamérica Libre de Comunistas!	Ser honesto no implica ser íntegro. Lo justo y lo correcto no es lo mismo!	40179.0	22617.0	1128.0	606.0	0.0	False		
@SENECA10	@DianaAndradeCD @cathe_ch Después que no te de la el o la  covid19 todo está bien	2020-07-17 13:38:19	es		0.0	0.0	@DianaAndradeCD	JORGE S CASALINS	Abogado litigante, Barranquilla, Veterano Viet Nam 1.970, 1970, Astronomia, Ciencia,Literatura, Guía Espiritual SENECA,BARUCH ZPINOZA	97238.0	11286.0	1876.0	1459.0	32.0	False		
