Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@solyluna196	"@JMY891 Aquí  dentro de unos meses cuando esto termine (espero), nadie se acordará. Te recuerdo que ha habido montones de manifestaciones #Mareasblancas y esos mismos que hoy aplauden decían  que erais unos privilegiados, Juanmi.
#Covid_19 https://t.co/FMnxKF3JIP"	2020-03-31 20:32:14	es		0.0	0.0	@JMY891	solyluna		18082.0	1074.0	121.0	192.0	7.0	False		
@Glajoconu	@MINSAPCuba @Larissacostas Los cubanos q están infectados con el covid-19 deben ser los que tuvieron contacto con los turistas del crucero.	2020-03-31 20:32:14	es		0.0	0.0	@MINSAPCuba	Gladys Correa	DESPUÉS DEL TRIUNFO DEL 15-O, SOY MÁS CHAVISTA Y NACIONALISTA.	19444.0	17146.0	386.0	370.0	0.0	False		
@VillavoNotiWeb	"#ATENCIÓN
#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con COVID-19 y 16 muertes. https://t.co/QpNEY90OT8"	2020-03-31 20:32:14	es		0.0	0.0		Villavicencio Noticias Web	Manténgase informado sobre todas las noticias de #Villavicencio	40.0	80.0	742.0	1284.0	7.0	False		
@RaymundoFierro3	Parece que la Hidrocloroquina junto con la Azitromicina están siendo efectivas en el tratamiento contra el Covid-19. Ayer fueron aprobadas por la FDA en USA.	2020-03-31 20:32:13	es		0.0	0.0		Raymundo Fierro 🇲🇽	Soldador Especialista con 30 años de experiencia en plantas, ductos y plataformas	2066.0	2704.0	451.0	301.0	2.0	False		
@JorgeJA57	@Nthector_g @PaulGranda @MashiRafael Porque mejor no investigan a Lenin y le pregunten que pasó con los insumos para los hospitales, para la prevención del COVID-19??	2020-03-31 20:32:13	es		0.0	0.0	@Nthector_g	Jorge Alvarez	La vida sin dios no es nada	380.0	29.0	268.0	201.0	1.0	False		
@Jhonata54511270	@AlvaroUribeVel señor cáncer de colombia para cuando darán las cifras reales del covid-19 le puede dar el permiso a @IvanDuque que de las cifras reales..... claro como no se invierte en salud no tienen como mitigar una emergencia como esta políticos de mierda en un buen país.	2020-03-31 20:32:13	es		0.0	0.0	@AlvaroUribeVel	Jhonatan acosta		1.0	0.0	3.0	1.0	0.0	False		
@leodiaz_escribe	@master_haro @oScAr_aRaUjO007 @soyelector @ChayraIrma1 @Elipinon @voktir011 @beltrandelrio @Excelsior Por cierto ignorante, el virus no se llama COVID-19 se llama SARS-CoV-2, ni eso sabes.	2020-03-31 20:32:13	es		0.0	0.0	@master_haro	leonardodiaz	Soñemos juntos, se hará realidad	10000.0	25501.0	924.0	933.0	4.0	False		
@melvinson	@JosefaCastill0 ¿Esa no fue la que dijo que el gobierno invento el COVID-19 para desviar el tema electoral? De seguro será Ministra de Educación si Luis Abinader gana. ¡Bárbara! @bolivarvalera	2020-03-31 20:32:12	es		0.0	0.0	@JosefaCastill0	MELVINSON ALMANZAR	Director de Comunicaciones Oficina Metropolitana de Servicios de Autobuses (OMSA). Periodista y Locutor. Feliz!	17515.0	12401.0	1097.0	1526.0	10.0	False		
@notacentralmx	Tras Covid-19, bancos iniciarán el miércoles con apoyos para cuentahabientes https://t.co/iGSVFOGmLx https://t.co/mCfjIYhsAM	2020-03-31 20:32:12	es		0.0	0.0		Nota Central		9376.0	66.0	1113.0	645.0	2.0	False		
