Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@AlfonsoPsoe	"El informe, en concreto, se puede encontrar aquí: https://t.co/8tPlpwFP8g e indica que según lo publicado hasta el momento, los niños ""jóvenes"" no son una fuente importante de transmisión de COVID-19 (los estudios son coherentes entre sí, con evidencia moderada) (2)"	2020-07-30 13:41:00	es		0.0	0.0	@AlfonsoPsoe	Alfonso_PSOE	Con 43 años y determinación inequívoca, después de reflexionar, he decidido dar un paso adelante. Quizá el tiempo me lleve la contraria.	704.0	1317.0	157.0	47.0	0.0	False		
@lv3th	@PedritoExtranja Ya cansa q @Salud_Ec y el ministro nos sigan engañando con el NO PASA NADA. Las cifras son una farsa aqui y en todo el mundo, en realidad el #COVID__19 va quedandose atrás lo q nos esta matando es la negligencia es este #GobiernoCorrupto. Dejando al ultimo lo de veras importante.	2020-07-30 13:40:57	es		0.0	0.0	@PedritoExtranja	Y.V@les Oro...	Ánimo q' la vida es muy corta para vivir amargados, gritemos lo que sentimos, seamos valientes que nadie nos pisotee y que se escuchen nuestras ganas de vivir🌷	1148.0	2787.0	102.0	37.0	0.0	False		
@MarcGrazi	BEUN DÍA COLOMBIANAS y COLOMBIANOS, EN USTEDES CONFÍO Y EN EL HACEDOR UNIVERSAL IMPLORO PARA QUE EL COVID-19 o CORONAVIRUS NOS DEJE VIVIR SUFICIENTE PARA ESCRIBIR LA NUEVA HISTORIA DE COLOMBIA RENOVÁNDONOS COMO SERES HUMANOS FORTALECIÉNDONOS EN NUESTRA UNIÓN FRATERNAL CON EQUIDAD	2020-07-30 13:40:55	es		0.0	0.0		JEAN MARC CRÉPY GRAZI	GESTOR DE DERECHOS Y CONFLICTOS HUMANOS Y ORIENTADOR PROFESIONAL DESDE Y HACIA LA EDUCACIÓN SUPERIOR	1602.0	6.0	5001.0	1497.0	1.0	False		
@PmaPoder	“Exijamos la asignación por parte del Estado de fondos suficientes para adquirir insumos y otros bienes y servicios para detener la transmisión comunitaria descontrolada del Covid-19.” Poder Ciudadano URGENTE llamado a las autoridades de salud (@MINSAPma). @panama_anep 👇🏿 https://t.co/NuqDaumbq2	2020-07-30 13:40:55	es		0.0	0.0		PoderCiudadanoPMA	“Somos panameñas y panameños que pertenecemos a sindicatos, asociaciones y organizaciones de muy diversas índoles...”	99.0	18.0	38.0	49.0	0.0	False		
@Vilma_Meche	"#3AñosDeVictoriaDemocrática 
Reporte del Covid-19 últimas 24 horas: 578 nuevos casos en el país un total de 17.158 de los cuales 6.583 Activos, Recuperados 10.421(61%) 5.226 Asintomáticos y 154 Fallecidos ✝️. Se han realizado 1.521.688 pruebas diagnósticas en todo el país https://t.co/TN5gQjzy0T"	2020-07-30 13:40:51	es		0.0	0.0		🌹Vilma Picapiedras💞🌹	"💞🌹Licenciada 🌹En Enfermería 💕🌹 Chavista y Magallanera💕💞 Hasta La Médula 💕💋💞Amo A Mi Patria 🇻🇪🌹💕💞
#DeZurdaTeam 🤝"	79731.0	48876.0	8293.0	34302.0	35.0	False		
@Manueldoga70_Do	¿Y si?La munición europea/otan se cambió al 5’56 para causar heridos y provocar más gastos en el enemigo, El Covid 19, provoca muchas muertes,Pero la ruina de países enteros, parece un virus diseñado para debilitar al enemigo hasta su final,Como el calibre 5’56.¿Y si fuera verdad	2020-07-30 13:40:50	es		1.0	1.0		Cid		27651.0	27600.0	141.0	145.0	0.0	False		
@ElInformador_SM	ONG piden a la ONU presionar a Maduro para que permita ayuda frente a covid-19 https://t.co/ywFZMzyqZK https://t.co/HAvmW9kEqI	2020-07-30 13:40:48	es		0.0	0.0		ElInformador_SM	El periódico tradicional del Departamento. Noticias de Santa Marta, el Magdalena, la región Caribe, Colombia y el mundo. EL INFORMADOR, Viviendo la Noticia.	159884.0	2389.0	2099.0	67203.0	251.0	False		
@redaccionmedica	"#DIRECTO | Covid-19 en 📍 #Málaga: 9️⃣ brotes activos, 2️⃣ más en 24 horas

https://t.co/2bYY3jr4KF"	2020-07-30 13:40:47	es		0.0	0.0		Redacción Médica	Periódico online con toda la actualidad del sector sanitario. #medicina #enfermería #farmacia #sanidad #salud #pacientes	253124.0	7103.0	7710.0	75399.0	1672.0	False		
